"","Sexo","Escolaridad","Num_Pers_Hogar","Sala_Mens_Antes","Sala_Mens_Desp","Index_Dep5T"
"208",1,2,3,2,2,10
"209",1,4,4,7,7,14
"210",1,5,2,7,7,19
"211",1,4,2,7,7,13
"212",1,4,3,3,3,8
"213",1,2,5,1,1,8
"214",2,4,4,7,7,12
"215",1,1,2,1,1,17
"216",2,6,2,7,7,13
"217",1,4,1,4,1,2
"218",1,5,4,6,6,18
"219",1,2,2,1,1,4
"220",1,3,2,2,NA,17
"221",2,4,2,7,7,8
"222",2,4,2,7,7,2
"223",1,4,5,4,4,11
"224",1,5,4,7,7,13
"225",1,1,2,4,4,1
"226",2,3,2,6,5,17
"227",1,4,3,1,1,17
"228",1,4,3,7,7,19
"229",1,2,4,2,1,2
"230",1,1,4,2,1,5
"231",2,4,4,6,6,10
"232",1,3,4,7,7,13
"233",2,4,4,7,7,18
"234",2,1,3,4,4,12
"235",2,2,3,7,7,9
"236",1,1,1,1,1,16
"237",1,4,4,1,1,15
"238",1,4,4,3,3,2
"239",1,5,4,5,5,14
"240",1,4,2,6,5,11
"241",2,4,4,4,4,8
"242",2,4,2,7,7,7
"243",2,2,2,4,4,1
"244",1,4,3,7,7,14
"245",1,2,2,2,2,23
"246",1,2,3,1,1,1
"247",1,3,1,5,5,10
"248",1,4,4,5,5,10
"249",1,4,4,5,4,24
"250",1,5,2,1,1,12
"251",1,5,2,3,2,2
"252",2,3,2,7,NA,3
"253",1,3,2,4,2,12
"254",1,3,3,1,NA,13
"255",1,3,7,1,2,1
"256",1,4,4,4,4,1
"257",1,4,3,7,7,11
"258",1,4,5,7,7,9
"259",1,4,3,2,1,24
"260",2,3,2,2,1,2
"261",1,3,4,1,3,13
"262",1,3,2,2,1,8
"263",1,4,3,7,7,18
"264",1,4,3,3,3,8
"265",1,5,3,5,5,1
"266",1,5,1,2,2,2
"267",2,2,3,2,2,9
"268",1,4,3,2,1,1
"269",2,3,4,NA,NA,3
"270",1,4,6,4,7,2
"271",1,4,4,3,NA,9
"272",1,3,2,7,7,16
"273",2,4,4,7,7,16
"274",2,2,2,7,7,14
"275",2,2,2,6,3,12
"276",1,4,4,5,5,2
"277",1,4,4,4,NA,21
"278",2,2,3,3,3,13
"279",1,4,5,2,1,29
"280",1,5,2,3,3,9
"281",1,4,2,6,3,11
"282",1,3,3,3,3,18
"283",1,5,2,4,4,14
"284",2,4,5,6,6,19
"285",2,2,5,5,5,1
"286",1,3,3,3,3,6
"287",1,2,2,6,6,8
"288",1,4,3,7,7,8
"289",1,6,2,7,7,16
"290",2,3,3,3,3,12
"291",1,4,5,5,5,10
"292",1,4,5,7,4,4
"293",1,4,5,6,6,18
"294",2,2,2,3,3,0
"295",2,4,4,6,6,0
"296",1,2,4,4,4,11
