Cultivar,Anthrac,Rust,GrainM,Seedwt,%Germ,Pani Hght,Pani Length,Grain Yld,Julian days
PI267655,2,1,,,,300,20,,
PI267624,2,5,3,2.3,80.3,160,20,3.674,112
PI267618,5,6,3,1.4,91.3,160,20,7.9,112
PI267606,2,2,,,,160,10,4.163,112
PI267588,2,6,,,,280,35,,
PI267565,2,1,2,1.8,94.7,240,35,,
PI267557,2,6,3,1,87.7,240,20,1.409,142
PI257601,2,4,,,,,,,
PI251637,2,5,3,1.5,91,215,20,7.225,112
PI197462,2,2,3,2.5,70.7,185,30,24.252,112
PI194355,2,6,4,1.9,97.3,150,25,4.185,112
PI148101,4,1,4,1.4,76.3,280,35,,
PI148086,,,,,,,,,
PI147833,3,2,,,,,,,
PI663869,2,2,,,,,,,
PI330271,2,1,,,,200,30,,
PI533923,2,6,4,2.2,83.7,165,30,4.867,112
PI533920,2,1,5,1.26,69.3,80,15,4.457,112
PI533828,2,6,4,2.1,35.3,150,15,,
PI533800,4,1,3,1.9,66.7,130,15,,
PI533799,2,1,3,2.2,49.7,70,20,,
PI533792,,,,,,,,,
PI534001,2,1,5,0.75,2,90,15,,
PI514502,2,1,,,,,,,
PI514496,2,2,3,1.6,89.7,260,30,,
PI514485,2,2,5,1.8,87.3,260,30,,
PI514484,2,2,,,,,,,
PI514474,2,2,,,,,,,
PI514472,,,,,,,,,
PI514471,2,5,,,,,,,
PI514470,2,4,,,,,,,
PI514467,2,1,,,,,,,
PI514460,2,3,,,,,,,
PI514457,2,5,3,2,90,340,35,,
PI514456,2,5,,,,,,,
PI514455,2,5,3,1.8,88,,,,
PI514454,2,4,,,,,,,
PI514453,2,3,,,,,,,
PI514440,2,5,3,2.8,79,300,60,,
PI514437,2,6,3,1.4,80,295,30,,
PI514431,2,3,3,2.5,91.3,220,35,,
PI514429,2,3,,,,210,,,
PI514415,2,5,,,,,,,
PI514414,2,6,3,1.6,86.7,300,50,,
PI514413,2,4,,,,,,,
PI514412,2,4,3,1.4,74,220,20,,
PI514411,,,,,,,,,
PI514409,2,5,3,2.1,95.3,250,50,,
PI514406,2,3,,,,,,,
PI514399,2,5,3,2,95.7,210,20,,
PI514398,2,3,3,1.6,93.7,260,50,,
PI514394,2,6,3,1.3,77.7,175,30,,
PI514393,2,3,3,2.2,94,220,30,,
PI514392,2,2,3,2.5,96,320,40,,
PI514386,2,4,,,,,,,
PI514385,2,5,,,,,,,
PI514365,,,,,,,,,
PI514348,2,3,,,,,,,
PI514347,2,6,3,2.4,95.7,260,40,,
PI514338,2,4,,,,,,,
PI514318,,,,,,,,,
PI514310,2,6,3,1.4,79.3,160,20,,
PI514308,2,6,3,1.3,44.7,210,35,,
PI514288,2,6,3,3.02,88,240,15,,
PI514287,2,5,3,3.7,53.7,300,20,,
PI514286,2,6,4.3,3.2,46,250,20,,
PI514285,2,6,5,1.9,21.3,270,15,,
PI514281,2,4,,,,,,,
PI514280,2,6,4,1.7,79.3,,,,
PI514279,2,6,3,2.2,57.3,330,30,,
PI669795,,,,,,,,,
PI669704,2,6,3,2.4,94,200,15,,
PI669703,2,5,3,2.4,89.3,150,30,,
PI669702,2,4,3,2.1,79.3,185,20,,
PI669699,2,6,3,2.3,78.7,170,20,,
PI669698,2,4,3,2.2,96.3,190,30,,
PI669639,,,,,,,,,
PI669638,2,6,3,2.7,77.7,145,25,,
PI669637,2,1,3,2.1,76,155,20,,
PI669636,,,,,,,,,
PI668763,2,4,3,2.2,71.7,160,15,,
PI668757,3,4,3,1.6,85.3,170,15,,
PI668726,2,6,3,2.1,79,180,15,,
PI668723,2,6,3,2.3,79.3,170,20,,
PI668717,2,3,3,1.5,89,160,35,,
PI514531,2,6,,,,,,,
PI514521,2,2,3,1.5,91.7,280,40,,
PI514519,2,6,3,2.7,92.7,270,30,,
PI514516,,,,,,,,,
PI514507,2,4,3,2.2,96.3,270,30,,
PI514506,2,5,2,1.4,96.7,240,40,,
PI514505,2,2,2,1.6,87,200,30,,
PI665169,2,4,2,3.7,98.7,210,20,,
PI665168,,,,,,,,,
PI665167,2,4,3,3.2,94.7,210,10,,
PI514580,3,3,,,,,,,
PI514578,2,3,,,,,,,
PI514577,2,5,,,,,,,
PI514562,2,2,3,2.2,83,190,35,,
PI514558,2,3,,,,,,,
PI514551,2,2,2,2.1,92.7,220,40,,
PI514546,2,2,,,,,,,
PI514538,,,,,,,,,
PI514534,2,2,2,0.8,91,,,,
PI514533,2,1,,,,,,,
PI514605,2,5,4,1.9,96.7,110,15,,
PI514603,2,3,,,,,,,
PI514602,2,3,,,,,,,
PI514601,2,6,3,2.3,92.3,130,10,,
PI514597,2,6,,,,,,,
PI514595,2,3,,,,,,,
PI514589,2,5,,,,,,,
PI514583,2,3,2,1.4,99,,,,
PI514582,2,4,,,,,,,
PI514581,2,4,,,,,,,
PI533861,,,,,,,,,
PI522145,2,1,3,1.7,95,280,40,,
PI514614,2,4,3,2.5,87.7,220,30,,
PI514613,2,3,3,1.7,27.7,185,25,,
PI514612,2,3,3,2.7,97.3,270,60,,
PI514611,2,5,3,2.8,87,260,40,,
PI514610,,,,,,,,,
PI514609,2,4,3,2.1,96.3,310,30,,
PI514608,,,,,,,,,
PI514606,2,6,,,,,,,
PI665159,2,1,,,,,,,
PI656032,2,1,3,2,99,190,30,,
PI647797,2,2,,,,,,,
PI647745,2,1,,,,,,,
PI647732,2,1,,,,,,,
PI647721,2,5,,,,,,,
PI576432,2,4,,,,350,30,,
PI563485,2,6,3,2.7,81,200,20,,
PI563484,2,6,4.3,2.5,85,170,25,,
PI563482,2,4,3,2.9,93,160,15,,
RTx2536 (PI656010),2,5,3,1.4,7.7,100,20,,
BTx623,5,1,3,2.5,90,135,15,,
PI609251,5,1,3.7,1.9,95,140,15,,
SC748,2,1,3,2.5,97.7,125,20,,
TAM428,5,1,3,3.3,98.7,155,15,,
SC719,5,2,3,4,87.7,125,20,,
TX2911(PI607931),2,5,3,2.6,94.7,120,20,,
QL3 (PI656060),2,5,3,1.8,61.3,165,30,,
Theis (PI651497),2,5,3.3,1.6,81.7,210,20,,
Brandeis (PI576436),2,1,3,1.5,95.3,170,25,,
SC326-6,2,1,5,1.23,6.7,90,20,,
SC328C,2,1,3,1.8,79,90,15,,
SC414-12E,2,4,3,1.6,41.3,110,25,,
BTx378,2,1,3,2.2,96,340,35,,
BTx398,2,5,3,2.5,89.7,115,20,,
SC283,2,1,3,1.98,94,140,25,,
SC112-14,2,1,3,2.7,64,110,15,,
IS18760,2,5,3,1.9,96,185,25,,
PI570726,2,1,,,,200,10,,
PI569979,2,1,3,1.3,50.7,300,30,,
PI570841,,,,,,,,,
PI665166,2,2,3,3.5,90,270,25,,
PI665165,2,3,3,2.3,96.7,260,25,6.92,128
PI661148,2,6,3,2.2,91.3,,,4.575,112
PI660638,2,3,3,3,94,260,25,19.74,128
PI660637,2,3,3,2.4,97.7,220,25,10.339,
PI644717,2,5,5,2.1,26.7,,,,
PI644502,2,4,3,1.5,92.3,215,20,4.573,126
PI576431,2,5,5,1.5,85.3,130,15,14.778,109
PI576381,2,1,5,1.2,69,90,25,14.527,112
PI576380,2,1,3,3,77.3,145,10,10.213,112
PI576379,2,1,5,1.8,85.3,115,10,8.007,112
PI576377,2,1,3,1.7,83,110,20,1.907,112
PI576376,2,5,4.3,1.4,22.3,90,15,9.364,112
PI576375,2,6,5,2,82.7,130,20,10.728,128
PI576344,2,1,4,1.9,87,120,10,1.671,112
PI564780,2,1,,,,320,40,,
PI564779,2,3,4,2.2,21.3,145,30,7.431,127
PI564778,2,5,5,2.3,43.7,230,25,,126
PI564777,2,5,5,2.3,71,350,35,,
PI564776,2,2,5,0.9,1.3,210,30,9.849,142
PI534157,2,1,3,2.3,86,90,25,14.121,112
PI534152,2,1,4,1.2,56.7,130,25,5.64,112
PI534151,2,6,5,1,11,115,25,25.483,112
PI534146,2,1,3,3.1,73.7,,,,
PI534131,2,1,5,0.5,6,110,30,0.776,128
PI534121,2,1,5,2.2,84.3,95,10,14.356,112
PI534116,2,1,4,1.7,94.3,125,35,11.627,112
PI534115,5,3,3,2.7,21,110,10,4.355,112
PI533918,2,6,4,2.8,67.7,115,20,33.024,112
PI533903,2,1,5,1.9,72.3,150,20,16.389,112
PI330821,2,1,,,,,,,
PI330819,2,5,4,1.9,72,150,20,26.715,112
PI330764,2,4,3,,,,,,
PI330288,3,6,3,2.3,49.3,280,25,9.904,142
PI330261,2,1,3,2.5,82.7,170,10,,127
PI330255,,,,,,,,,
PI330230,2,4,,,,270,10,3.351,112
PI330004,2,3,,,,,,,
PI330000,2,3,,,,280,35,,
PI329968,2,4,,,,200,30,,
PI329697,2,1,,,,,,,
PI329346,,,,,,,,,
PI329313,2,5,3,2,98.7,300,75,,
PI276832,2,1,,,,,,,
PI276822,2,2,,,,,,,
PI267655,2,1,,,,,,,
PI267624,2,4,3,1.9,97.7,110,10,6.973,112
PI267618,5,6,3,1.3,98,150,15,7.279,112
PI267606,2,4,3,3.7,96.3,175,15,7.677,112
PI267588,2,5,5,1.6,0,270,25,,
PI267565,2,5,3,1.6,99.7,235,30,,
PI267557,2,2,3,1.9,80,195,20,2.22,142
PI257601,2,2,4.3,2.3,48.7,,,,
PI251637,2,5,3,1.7,91.3,160,15,6.087,112
PI197462,2,1,5,2.9,90,190,25,31.885,112
PI194355,2,1,4,1.8,97.7,140,15,0.708,112
PI148101,5,1,5,1.2,61,300,25,,
PI148086,3,3,,,,,,,
PI147833,2,1,,,,,,,
PI663869,2,3,,,,,,,
PI330271,,,,,,160,30,,
PI533923,2,6,5,3.2,43.7,165,20,8.935,112
PI533920,2,1,5,1.5,77,60,15,4.521,112
PI533828,2,3,5,2.3,42,160,15,,
PI533800,5,1,5,1,17.7,150,10,,
PI533799,2,3,4,3.1,50.3,80,15,,
PI533792,,,,,,,,,
PI534001,2,1,4,1.5,49,95,20,,
PI514502,2,1,,,,,,,
PI514496,2,3,3,1.8,86.3,,,,
PI514485,2,4,,,,,,,
PI514484,2,4,,,,,,,
PI514474,2,2,3,1.7,83,,,,
PI514472,2,3,,,,,,,
PI514471,2,5,,,,,,,
PI514470,3,5,,,,,,,
PI514467,2,3,,,,,,,
PI514460,2,5,3,2,93,,,,
PI514457,2,5,3,2.3,96.3,300,30,,
PI514456,2,5,3,2,74.7,,,,
PI514455,2,4,,,,,,,
PI514454,2,4,,,,,,,
PI514453,2,4,3,1.6,96.3,,,,
PI514440,2,4,3,2.9,94.7,,,,
PI514437,2,6,3,1.3,97,280,30,,
PI514431,2,5,3,0.7,89,305,30,,
PI514429,2,4,3,2,90,,25,,
PI514415,2,3,,,,,,,
PI514414,2,3,3.3,1.9,97.7,290,50,,
PI514413,2,1,,,,,,,
PI514412,2,6,3,1.7,88.3,260,50,,
PI514411,,,,,,,,,
PI514409,2,6,3,2,93.7,260,35,,
PI514406,2,4,,,,,,,
PI514399,2,5,3,2.3,92.7,195,25,,
PI514398,2,3,3,1.8,98,270,50,,
PI514394,2,6,5,1.3,37,180,25,,
PI514393,2,5,3,2.9,84,190,30,,
PI514392,2,3,3,2.3,95.7,280,45,,
PI514386,2,5,3,2.2,71.7,,,,
PI514385,2,6,,,,,,,
PI514365,,,,,,,,,
PI514348,2,4,3,2,84.7,,,,
PI514347,2,5,3,1.9,96.7,270,60,,
PI514338,2,5,4,1.9,97,,,,
PI514318,,,,,,,,,
PI514310,2,6,5,1.3,,160,20,,
PI514308,2,6,3.7,1.2,69,200,30,,
PI514288,2,6,3,3,78.3,220,20,,
PI514287,2,4,3,2.4,76.3,260,15,,
PI514286,2,5,5,3.6,72.7,240,25,,
PI514285,2,6,,,,270,20,,
PI514281,2,5,,,,,,,
PI514280,2,4,3,2.8,72.3,,,,
PI514279,2,4,,,,210,20,,
PI669795,,,,,,,,,
PI669704,2,6,3,2.4,93,200,30,,
PI669703,2,6,3,2.4,93,145,20,,
PI669702,2,1,3,2,88.7,140,20,,
PI669699,2,5,3.7,2.6,79.3,170,20,,
PI669698,2,1,4,2.1,89.7,180,30,,
PI669639,,,,,,,,,
PI669638,2,2,3,2.9,85,,,,
PI669637,2,1,5,2.2,87.3,160,20,,
PI669636,,,,,,,,,
PI668763,2,2,3,1.9,81.3,190,20,,
PI668757,2,6,4,1.6,98.3,170,15,,
PI668726,2,2,3,2.3,65,170,15,,
PI668723,2,6,3,2,68.3,170,15,,
PI668717,2,1,3,1.3,85.3,185,25,,
PI514531,2,4,,,,,,,
PI514521,2,4,3,1.8,97,260,45,,
PI514519,2,5,3,2,66.7,280,50,,
PI514516,,,,,,,,,
PI514507,2,2,3,1.6,98.3,280,30,,
PI514506,2,1,3,1.2,97,210,45,,
PI514505,2,2,3,1.8,86.7,170,30,,
PI665169,2,4,3,3.6,97,200,25,,
PI665168,,,,,,,,,
PI665167,2,6,3,3.2,80.3,210,20,,
PI514580,2,2,,,,,,,
PI514578,2,4,,,,,,,
PI514577,2,5,,,,,,,
PI514562,2,4,3,2.6,76.3,200,40,,
PI514558,2,3,,,,,,,
PI514551,2,6,3,2.8,74.7,235,50,,
PI514546,2,2,,,,,,,
PI514538,,,,,,,,,
PI514534,2,1,3,1.6,89.7,,,,
PI514533,2,2,,,,,,,
PI514605,2,2,5,2.4,56.7,110,15,,
PI514603,2,1,,,,,,,
PI514602,2,4,,,,,,,
PI514601,2,4,4,2.8,90.7,130,20,,
PI514597,2,5,,,,,,,
PI514595,2,2,,,,,,,
PI514589,2,1,,,,,,,
PI514583,2,1,3,1.7,99.7,,,,
PI514582,2,2,,,,,,,
PI514581,2,2,,,,,,,
PI533861,,,,,,,,,
PI522145,2,3,,,,,,,
PI514614,2,2,3,2.4,86.3,,,,
PI514613,2,2,3,1.6,25.7,,,,
PI514612,2,4,3,2.6,97.7,,40,,
PI514611,2,4,3,2,97.3,270,50,,
PI514610,2,2,,,,,,,
PI514609,2,1,,,,320,40,,
PI514608,2,5,,,,,,,
PI514606,2,3,3,2,75.7,,,,
PI665159,2,1,,,,,,,
PI656032,2,1,3,1.8,98,160,30,,
PI647797,2,3,,,,,,,
PI647745,2,5,,,,,,,
PI647732,2,3,,,,,,,
PI647721,2,4,,,,,,,
PI576432,2,6,,,,250,30,,
PI563485,2,4,4,,,150,25,,
PI563484,2,6,4,2.6,69,160,20,,
PI563482,2,1,3,3.2,77,155,15,,
RTx2536 (PI656010),2,5,4,2,65.7,110,30,,
BTx623,5,1,3,1.7,77.7,130,15,,
PI609251,5,4,3,2,86.3,170,15,,
SC748,2,1,4,2.1,92.3,125,15,,
TAM428,5,1,4,2.3,82,140,15,,
SC719,5,2,4,4.6,81.3,115,20,,
TX2911(PI607931),3,3,3,2.2,95,115,20,,
QL3 (PI656060),2,5,3,2.4,88.7,165,20,,
Theis (PI651497),3,3,3,2,96,185,15,,
Brandeis (PI576436),2,1,3,1.3,88.3,145,15,,
SC326-6,2,1,4,1.4,90,105,20,,
SC328C,2,1,3,1.7,72.3,90,15,,
SC414-12E,2,1,5,2.1,41.3,110,20,,
BTx378,2,2,4,2.9,79,,,,
BTx398,2,5,3,2.9,94.3,120,15,,
SC283,2,1,3,2.5,86.3,135,25,,
SC112-14,2,1,3,2.9,70,110,10,,
IS18760,2,3,3,2.4,98.3,200,20,,
PI570726,,,,,,170,15,,
PI569979,,,3,2.2,95.7,220,35,,
PI570841,,,,,,,,,
PI665166,2,4,3,3.7,91.7,250,20,,
PI665165,2,4,3,4.1,86.7,260,25,,128
PI661148,2,5,3,2.8,86.7,,,8.224,112
PI660638,2,4,3,3.3,85.3,250,25,14.252,128
PI660637,2,1,3,2.7,97.3,225,20,,
PI644717,2,4,5,1.8,68.3,,,,
PI644502,2,3,3,1.1,76.7,230,20,21.332,126
PI576431,2,4,5,1.2,62.7,195,20,15.713,109
PI576381,2,1,5,1.2,52.7,80,30,10.998,112
PI576380,2,1,4,2.7,46.7,125,20,18.189,112
PI576379,2,1,5,1.7,75.3,115,15,11.352,112
PI576377,2,1,4,1.5,77.7,105,15,6.806,112
PI576376,2,1,5,1.7,33.7,80,20,18.275,112
PI576375,2,6,5,2,37.7,160,30,9.945,128
PI576344,2,1,4,2.3,78,120,25,2.082,112
PI564780,2,3,,,,,,,
PI564779,2,2,5,2.1,65,130,40,9.975,127
PI564778,2,4,5,2.3,36,200,35,,126
PI564777,2,4,4,2,100,,,,
PI564776,2,1,5,2.2,71.7,210,30,46.966,142
PI534157,3,1,3,2.5,92.3,85,30,28.014,112
PI534152,2,2,4,1.6,92,130,25,4.862,112
PI534151,2,2,5,1.1,46.7,95,20,27.014,112
PI534146,2,1,3,3.1,83.7,,,,
PI534131,2,1,5,1.3,41.3,120,30,1.034,128
PI534121,2,1,4,1.9,85,95,15,11.211,112
PI534116,2,1,3,1.5,96,120,30,11.669,112
PI534115,5,5,4,3.6,65.7,110,15,11.976,112
PI533918,2,5,3,2.8,82,115,15,16.321,112
PI533903,2,1,3,1.5,90.3,140,30,24.169,112
PI330821,2,1,,,,,,,
PI330819,2,4,4,1.5,59.7,165,20,27.114,112
PI330764,2,6,,,,,,,
PI330288,2,3,,,,,,,142
PI330261,2,1,4,2.5,62,170,10,,127
PI330255,,,,,,,,,
PI330230,2,5,3,2,69,320,15,3.427,112
PI330004,2,1,,,,,,,
PI330000,2,2,,,,260,35,,
PI329968,2,5,,,,,,,
PI329697,2,1,,,,,,,
PI329346,,,,,,,,,
PI329313,2,4,,,,270,45,,
PI276832,2,1,,,,,,,
PI276822,2,1,,,,,,,
PI267655,2,1,,,,,,,
PI267624,2,1,3,2.7,55,110,20,,112
PI267618,2,4,3,1.6,98.3,150,15,12.708,112
PI267606,2,5,4,3.6,69.7,175,15,4.334,112
PI267588,2,6,4,2.5,58,270,20,,
PI267565,2,1,3,1.3,73.3,245,35,,
PI267557,2,5,4,1,83,230,20,4.36,142
PI257601,2,2,,,,,,,
PI251637,2,5,4,1.4,74.3,160,15,8.392,112
PI197462,2,1,5,3.4,83.3,195,40,24.687,112
PI194355,2,6,4,2.1,78.3,160,15,3.527,112
PI148101,5,1,,,,340,20,,
PI148086,2,4,,,,,,,
PI147833,2,4,,,,,,,
PI663869,2,4,,,,,,,
PI330271,,,,,,170,35,,
PI533923,2,5,5,3,77.7,160,25,14.635,112
PI533920,2,1,5,0.9,28.3,100,20,5.011,112
PI533828,2,2,5,2.1,24.7,130,15,,
PI533800,2,1,4,2.2,68.7,150,10,,
PI533799,2,1,4,3.4,47.3,80,15,,
PI533792,,,,,,,,,
PI534001,2,1,4,1,28.3,100,20,,
PI514502,2,1,,,,,,,
PI514496,2,1,3,1.5,86.7,,,,
PI514485,2,4,,,,,,,
PI514484,2,4,,,,,,,
PI514474,2,4,2,1.2,97,,,,
PI514472,2,4,,,,,,,
PI514471,2,3,,,,,,,
PI514470,2,2,,,,,,,
PI514467,2,3,,,,,,,
PI514460,2,4,,,,,,,
PI514457,2,5,,,,,,,
PI514456,2,5,,,,,,,
PI514455,,,,,,,,,
PI514454,2,6,,,,,,,
PI514453,,,,,,,,,
PI514440,2,6,3,2.7,99.7,,,,
PI514437,2,6,3,0.9,84.3,220,30,,
PI514431,2,6,3,2.1,95.3,270,35,,
PI514429,2,4,3,2.4,98.3,,,,
PI514415,2,3,,,,,,,
PI514414,2,4,3,1.6,96.3,280,20,,
PI514413,2,4,,,,,,,
PI514412,2,6,3,1.4,94,215,35,,
PI514411,,,,,,,,,
PI514409,2,4,5,1.6,94.3,260,35,,
PI514406,2,5,3,2.7,94.7,,,,
PI514399,2,4,4,2.2,87.7,175,30,,
PI514398,2,1,3,1.6,90.3,260,50,,
PI514394,2,6,5,1.3,55.3,170,30,,
PI514393,2,1,3,2.6,91,210,40,,
PI514392,2,1,3,1.9,93.3,290,40,,
PI514386,2,5,,,,,,,
PI514385,2,6,,,,,,,
PI514365,,,,,,,,,
PI514348,2,3,3,1.7,96.7,,,,
PI514347,2,6,3,1.7,96.7,260,45,,
PI514338,2,2,,,,,,,
PI514318,,,,,,,,,
PI514310,2,5,5,1.1,47.3,160,25,,
PI514308,2,6,3,1,83.7,210,30,,
PI514288,2,6,4,2.4,82,210,20,,
PI514287,2,4,5,2,30.7,300,25,,
PI514286,2,6,4.7,2.5,78,290,25,,
PI514285,2,6,5,1.5,21.3,280,15,,
PI514281,2,3,3,1.7,94.7,,,,
PI514280,2,4,3,2.4,88,,,,
PI514279,2,5,3,3.1,53,210,15,,
PI669795,,,,,,,,,
PI669704,2,5,3,2.1,88.3,210,20,,
PI669703,2,5,3,2.1,77.7,145,30,,
PI669702,2,5,3,1.8,93.7,200,15,,
PI669699,2,6,5,2.1,82.7,190,15,,
PI669698,2,6,3,2,97,175,25,,
PI669639,,,,,,,,,
PI669638,2,2,3,2.1,83.3,,,,
PI669637,2,2,5,1.3,93,160,20,,
PI669636,,,,,,,,,
PI668763,2,6,3,2.1,96,185,20,,
PI668757,2,6,4,1.6,98.3,160,15,,
PI668726,2,5,3,2.3,93,175,20,,
PI668723,2,5,3,2.1,84,170,20,,
PI668717,2,1,3,1.3,89.3,170,35,,
PI514531,2,6,,,,,,,
PI514521,,,,,,270,40,,
PI514519,2,5,,,,250,50,,
PI514516,,,,,,,,,
PI514507,2,2,3,2.6,89,270,40,,
PI514506,2,1,2,1.1,95.7,230,35,,
PI514505,2,2,3,1.5,76.3,220,25,,
PI665169,2,4,4.3,4.1,89,210,25,,
PI665168,,,,,,,,,
PI665167,2,4,3,3.7,89.7,195,15,,
PI514580,2,4,,,,,,,
PI514578,2,3,,,,,,,
PI514577,2,4,,,,,,,
PI514562,2,5,3,2.4,75.7,200,35,,
PI514558,2,4,,,,,,,
PI514551,2,4,3,2,82,240,50,,
PI514546,2,3,,,,,,,
PI514538,,,,,,,,,
PI514534,2,1,2,1.1,72.7,,,,
PI514533,2,1,,,,,,,
PI514605,2,4,5,2,82.7,115,15,,
PI514603,2,1,,,,,,,
PI514602,2,3,,,,,,,
PI514601,2,2,4.3,2.5,88.3,150,20,,
PI514597,2,4,2,1.4,76.3,,,,
PI514595,2,1,,,,,,,
PI514589,2,3,,,,,,,
PI514583,2,1,3,1.3,89.3,,,,
PI514582,2,3,,,,,,,
PI514581,2,3,,,,,,,
PI533861,,,,,,,,,
PI522145,2,1,,,,,,,
PI514614,2,1,5,2.5,92,,,,
PI514613,2,4,3,2.6,96,,,,
PI514612,2,5,3,2.3,87.7,320,,,
PI514611,2,5,3,2.1,85.3,,,,
PI514610,2,4,,,,,,,
PI514609,2,5,,,,300,30,,
PI514608,2,4,,,,,,,
PI514606,2,4,2,1.7,91,,,,
PI665159,2,1,,,,,,,
PI656032,2,3,3,2,95.7,200,30,,
PI647797,2,1,,,,,,,
PI647745,2,4,,,,,,,
PI647732,2,2,,,,,,,
PI647721,2,5,,,,,,,
PI576432,2,6,,,,350,20,,
PI563485,2,4,4,2.2,69.7,170,30,,
PI563484,,,,,,210,25,,
PI563482,2,4,3,2.4,93.3,185,20,,
RTx2536 (PI656010),2,5,5,0.9,6.7,110,25,,
BTx623,5,1,4,1.6,56.7,140,20,,
PI609251,5,1,3,2,72,170,20,,
SC748,2,1,5,1.6,72.7,125,15,,
TAM428,3,1,4,2,38,110,25,,
SC719,5,1,3,2.3,91,120,20,,
TX2911(PI607931),,,,,,115,25,,
QL3 (PI656060),2,6,3,1.9,89,170,20,,
Theis (PI651497),2,4,3,2.1,94.7,205,20,,
Brandeis (PI576436),2,1,3,1.6,86.3,145,15,,
SC326-6,2,1,5,1.3,65,85,20,,
SC328C,2,1,5,0.3,2.3,100,10,,
SC414-12E,2,3,5,1.8,68.7,115,25,,
BTx378,2,3,3,2.3,59.3,,,,
BTx398,2,4,4,2.5,95,160,15,,
SC283,2,1,3,1.9,87,145,30,,
SC112-14,2,1,4,3,83,100,10,,
IS18760,2,5,3.3,2.3,98.3,210,20,,
PI570726,,,,,,170,15,,
PI569979,,,3,2,86,280,30,,
PI570841,,,,,,,,,
PI665166,,,,,,175,15,,
PI665165,,,,,,200,15,,
PI661148,,,,,,115,15,,
PI660638,,,,,,215,20,,
PI660637,,,,,,175,20,,
PI644717,,,,,,265,15,,
PI644502,,,,,,145,20,,
PI576431,,,,,,100,25,2.149,112
PI576381,,,,,,90,20,,
PI576380,,,,,,115,20,,
PI576379,,,,,,120,20,,
PI576377,,,,,,110,20,,
PI576376,,,,,,80,25,,
PI576375,,,,,,150,20,,
PI576344,,,,,,125,20,,
PI564780,,,,,,,,,
PI564779,,,,,,135,20,,
PI564778,,,,,,220,20,,
PI564777,,,,,,200,20,,
PI564776,,,,,,170,30,,
PI534157,,,,,,90,30,,
PI534152,,,,,,130,30,,
PI534151,,,,,,100,30,,
PI534146,,,,,,130,20,,
PI534131,,,,,,125,20,,
PI534121,,,,,,120,15,,
PI534116,,,,,,140,30,,
PI534115,,,,,,100,15,,
PI533918,,,,,,120,20,,
PI533903,,,,,,180,30,,
PI330821,,,,,,,,,
PI330819,,,,,,190,25,,
PI330764,,,,,,,,,
PI330288,,,,,,150,20,,
PI330261,,,,,,210,20,,
PI330255,,,,,,,,,
PI330230,,,,,,,,,
PI330004,,,,,,,,,
PI330000,,,,,,,,,
PI329968,,,,,,,,,
PI329697,,,,,,,,,
PI329346,,,,,,,,,
PI329313,,,,,,220,30,,
PI276832,,,,,,,,,
PI276822,,,,,,,,,
PI267655,,,,,,,,,
PI267624,,,,,,85,15,,
PI267618,,,,,,150,15,,
PI267606,,,,,,125,15,,
PI267588,,,,,,115,10,,
PI267565,,,,,,180,20,,
PI267557,,,,,,160,40,,
PI257601,,,,,,160,20,,
PI251637,,,,,,125,10,,
PI197462,,,,,,190,35,,
PI194355,,,,,,100,10,,
PI148101,,,,,,235,20,,
PI148086,,,,,,,,,
PI147833,,,,,,,,,
PI663869,,,,,,,,,
PI330271,,,,,,,,,
PI533923,,,,,,145,15,,
PI533920,,,,,,100,25,,
PI533828,,,,,,140,10,,
PI533800,,,,,,90,20,,
PI533799,,,,,,80,15,,
PI533792,,,,,,,,,
PI534001,,,,,,95,25,,
PI514502,,,,,,,,,
PI514496,,,,,,220,35,,
PI514485,,,,,,,,,
PI514484,,,,,,,,,
PI514474,,,,,,255,35,,
PI514472,,,,,,,,,
PI514471,,,,,,,,,
PI514470,,,,,,,,,
PI514467,,,,,,,,,
PI514460,,,,,,200,30,,
PI514457,,,,,,220,,,
PI514456,,,,,,190,60,,
PI514455,,,,,,,,,
PI514454,,,,,,190,,,
PI514453,,,,,,230,25,,
PI514440,,,,,,250,45,,
PI514437,,,,,,190,30,,
PI514431,,,,,,165,25,,
PI514429,,,,,,200,30,,
PI514415,,,,,,,,,
PI514414,,,,,,225,70,,
PI514413,,,,,,,,,
PI514412,,,,,,190,35,,
PI514411,,,,,,,,,
PI514409,,,,,,200,40,,
PI514406,,,,,,,,,
PI514399,,,,,,210,40,,
PI514398,,,,,,150,30,,
PI514394,,,,,,140,20,,
PI514393,,,,,,160,25,,
PI514392,,,,,,240,45,,
PI514386,,,,,,245,50,,
PI514385,,,,,,,,,
PI514365,,,,,,,,,
PI514348,,,,,,200,40,,
PI514347,,,,,,280,50,,
PI514338,,,,,,330,50,,
PI514318,,,,,,,,,
PI514310,,,,,,150,35,,
PI514308,,,,,,170,30,,
PI514288,,,,,,200,25,,
PI514287,,,,,,190,20,,
PI514286,,,,,,190,20,,
PI514285,,,,,,,,,
PI514281,,,,,,,,,
PI514280,,,,,,260,15,,
PI514279,,,,,,,,,
PI669795,,,,,,,,,
PI669704,,,,,,175,20,,
PI669703,,,,,,120,20,,
PI669702,,,,,,150,20,,
PI669699,,,,,,160,20,,
PI669698,,,,,,170,25,,
PI669639,,,,,,,,,
PI669638,,,,,,175,20,,
PI669637,,,,,,150,20,,
PI669636,,,,,,,,,
PI668763,,,,,,170,30,,
